NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	TEXT
81	公交车bus	310081	1	1	1205	1216	1215	1245	0	0	-1	-1	-1	-1	4|1	601	玄武飞艇就要从王城南门驶出，请希望观光旅游的乘客到车站等候。	1214	60	玄武飞艇已经从王城南门驶出，请希望观光旅游的乘客到车站乘车。	1216	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
82	公交车bus结束	310082	1	1	1245	1246	1245	1246	0	0	-1	-1	-1	-1	4|1	61	玄武飞艇已经结束发车，请等待下一次开车。	1246	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
83	公交车bus	310081	1	1	1405	1416	1415	1445	0	0	-1	-1	-1	-1	4|1	601	玄武飞艇就要从王城南门驶出，请希望观光旅游的乘客到车站等候。	1414	60	玄武飞艇已经从王城南门驶出，请希望观光旅游的乘客到车站乘车。	1416	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
84	公交车bus结束	310082	1	1	1445	1446	1445	1446	0	0	-1	-1	-1	-1	4|1	61	玄武飞艇已经结束发车，请等待下一次开车。	1446	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
85	公交车bus	310081	1	1	1605	1616	1615	1645	0	0	-1	-1	-1	-1	4|1	601	玄武飞艇就要从王城南门驶出，请希望观光旅游的乘客到车站等候。	1614	60	玄武飞艇已经从王城南门驶出，请希望观光旅游的乘客到车站乘车。	1616	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
86	公交车bus结束	310082	1	1	1645	1646	1645	1646	0	0	-1	-1	-1	-1	4|1	61	玄武飞艇已经结束发车，请等待下一次开车。	1646	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
87	公交车bus	310081	1	1	1805	1816	1815	1845	0	0	-1	-1	-1	-1	4|1	601	玄武飞艇就要从王城南门驶出，请希望观光旅游的乘客到车站等候。	1814	60	玄武飞艇已经从王城南门驶出，请希望观光旅游的乘客到车站乘车。	1816	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
88	公交车bus结束	310082	1	1	1845	1846	1845	1846	0	0	-1	-1	-1	-1	4|1	61	玄武飞艇已经结束发车，请等待下一次开车。	1846	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
89	公交车bus	-1	1	1	1215	1216	-1	-1	0	0	-1	-1	-1	-1	5	61	玄武飞艇从王国王城南门驶出	1216	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
90	公交车bus	-1	1	1	1415	1416	-1	-1	0	0	-1	-1	-1	-1	5	61	玄武飞艇从王国王城南门驶出	1416	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
91	公交车bus	-1	1	1	1615	1616	-1	-1	0	0	-1	-1	-1	-1	5	61	玄武飞艇从王国王城南门驶出	1616	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
92	公交车bus	-1	1	1	1815	1816	-1	-1	0	0	-1	-1	-1	-1	5	61	玄武飞艇从王国王城南门驶出	1816	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
93	守护争夺战	-1	0	2	1930	2101	1930	2101	0	0	-1	-1	-1	-1	4|1	900	朱雀战场、青龙战场报名时间将在20：25开始，请参加报名的帮会做好准备！	2014	660	朱雀战场、青龙战场报名开始，请参加的帮会前往本国王城国家守护管理员处报名！	2026	300	朱雀战场、青龙战场报名进行中，请参加报名的帮会前往国家守护管理员处报名参加！	2035	300	朱雀战场、青龙战场报名进行中，请参加报名的帮会前往国家守护管理员处报名参加！	2035	300	朱雀战场、青龙战场报名结束！	2041	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
94	领地争夺战	-1	0	2	0	1	0	1	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
95	领地争夺战	-1	0	2	0	1	0	1	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
96	据点定时BOSS	305040	1	1	1030	1100	1030	1100	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、对马岛、后花园等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
97	据点定时BOSS	-1	1	1	1030	1031	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
98	据点定时BOSS消失	-1	1	1	1100	1101	1100	1101	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
99	据点定时BOSS	305040	1	1	1230	1300	1230	1300	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、对马岛、后花园等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
100	据点定时BOSS	-1	1	1	1230	1231	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
101	据点定时BOSS消失	-1	1	1	1300	1301	1300	1301	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
102	据点定时BOSS	305040	1	1	1430	1500	1430	1500	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、对马岛、后花园等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
103	据点定时BOSS	-1	1	1	1430	1431	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
104	据点定时BOSS消失	-1	1	1	1500	1501	1500	1501	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
105	据点定时BOSS	305040	1	1	1630	1700	1630	1700	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、对马岛、后花园等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
106	据点定时BOSS	-1	1	1	1630	1631	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
107	据点定时BOSS消失	-1	1	1	1700	1701	1700	1701	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
108	据点定时BOSS	305040	1	1	1830	1900	1830	1900	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、对马岛、后花园等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
109	据点定时BOSS	-1	1	1	1830	1831	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
110	据点定时BOSS消失	-1	1	1	1900	1901	1900	1901	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
111	据点定时BOSS	305040	1	1	2130	2200	2130	2200	0	0	-1	-1	-1	-1	1	1801	魔君的部将们在凤翔府、阿尔金山、撒马尔罕、莫斯科公国、匈牙利、大马士革、对马岛、后花园等地出现！各位勇士速速前往将其剿灭！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
112	据点定时BOSS	-1	1	1	2130	2131	-1	-1	0	0	-1	-1	-1	-1	5	61	魔君部将出现!	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
113	据点定时BOSS消失	-1	1	1	2200	2201	2200	2201	0	0	-1	-1	-1	-1	1	61	魔君部将们被全部击败，只留下他们那充满怨恨的诅咒：总有一天，魔君会降临并征服这整个世界......	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
114	世界杯	300837	0	2	61629	61629	61629	61630	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
115	游乐场-暴龙开始	-1	0	2	61150	61151	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61151	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
116	游乐场-暴龙大作战	310320	0	2	61200	61201	61200	61201	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61201	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
117	游乐场-暴龙结束	-1	0	2	61210	61211	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
118	游乐场-暴龙开始	-1	0	2	61250	61251	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61251	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
119	游乐场-暴龙大作战	310320	0	2	61300	61301	61300	61301	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61301	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
120	游乐场-暴龙结束	-1	0	2	61310	61311	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
121	游乐场-暴龙开始	-1	0	2	61350	61351	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61351	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
122	游乐场-暴龙大作战	310320	0	2	61400	61401	61400	61401	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61401	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
123	游乐场-暴龙结束	-1	0	2	61410	61411	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
124	游乐场-暴龙开始	-1	0	2	61450	61451	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61451	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
125	游乐场-暴龙大作战	310320	0	2	61500	61501	61500	61501	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61501	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
126	游乐场-暴龙结束	-1	0	2	61510	61511	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
127	游乐场-暴龙开始	-1	0	2	61550	61551	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61551	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
128	游乐场-暴龙大作战	310320	0	2	61600	61601	61600	61601	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61601	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
129	游乐场-暴龙结束	-1	0	2	61610	61611	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
130	游乐场-暴龙开始	-1	0	2	61650	61651	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61651	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
131	游乐场-暴龙大作战	310320	0	2	61700	61701	61700	61701	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61701	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
132	游乐场-暴龙结束	-1	0	2	61710	61711	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
133	游乐场-暴龙开始	-1	0	2	61750	61751	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61751	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
134	游乐场-暴龙大作战	310320	0	2	61800	61801	61800	61801	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61801	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
135	游乐场-暴龙结束	-1	0	2	61810	61811	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
136	游乐场-暴龙开始	-1	0	2	61850	61851	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61851	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
137	游乐场-暴龙大作战	310320	0	2	61900	61901	61900	61901	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	61901	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
138	游乐场-暴龙结束	-1	0	2	61910	61911	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
139	游乐场-暴龙开始	-1	0	2	61950	61951	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	61951	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
140	游乐场-暴龙大作战	310320	0	2	62000	62001	62000	62001	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	62001	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
141	游乐场-暴龙结束	-1	0	2	62010	62011	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
142	游乐场-暴龙开始	-1	0	2	62050	62051	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	62051	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
143	游乐场-暴龙大作战	310320	0	2	62100	62101	62100	62101	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	62101	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
144	游乐场-暴龙结束	-1	0	2	62110	62111	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
145	游乐场-暴龙开始	-1	0	2	62150	62151	-1	-1	0	0	-1	-1	-1	-1	4|1	61	暴龙大作战即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到暴龙大作战发布人（70，59）参加精彩刺激的活动	62151	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
146	游乐场-暴龙大作战	310320	0	2	62200	62201	62200	62201	0	0	-1	-1	-1	-1	4|1	-1	暴龙大作战开始了，大家可到暴龙大作战发布人（70，59）处准备领取任务！	62201	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
147	游乐场-暴龙结束	-1	0	2	62210	62211	-1	-1	0	0	-1	-1	-1	-1	4|1	61		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
148	游乐场-疯狂的箱子	-1	0	2	61225	61226	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	61226	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
149	游乐场-疯狂的箱子	310324	0	2	61235	61236	61235	61236	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间?麒麟中的摩天轮区、旋转木马区、暴龙区和海盗船区！	61236	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
150	游乐场-疯狂的箱子	310325	0	2	61250	61251	61250	61251	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61251	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
151	游乐场-疯狂的箱子	-1	0	2	61325	61326	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	61326	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
152	游乐场-疯狂的箱子	310324	0	2	61335	61336	61335	61336	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间?麒麟中的摩天轮区、旋转木马区、暴龙区和海盗船区！	61336	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
153	游乐场-疯狂的箱子	310325	0	2	61350	61351	61350	61351	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61351	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
154	游乐场-疯狂的箱子	-1	0	2	61425	61426	-1	-1	0	0	-1	-1	-1	-1	4|1	61	疯狂的宝箱即将开始，各位玩家可以通过大都南的天上人间传送人（128，70）进入天上人间·麒麟，找到疯狂的宝箱发布人（128，118）参加精彩刺激的活动！	61426	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
155	游乐场-疯狂的箱子	310324	0	2	61435	61436	61435	61436	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子出现在天上人间?麒麟中的摩天轮区、旋转木马区、暴龙区和海盗船区！	61436	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
156	游乐场-疯狂的箱子	310325	0	2	61450	61451	61450	61451	0	0	-1	-1	-1	-1	4|1	61	疯狂的箱子已经消失了	61451	-1		-1	-1		-1	-1		-1	-1		-1	0	39	39|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	39
